Sample,Ct,Particle,Location,notes,ACH,Bin,bin
R806,32.06666666666667,24470.266666666666,TFdoor,Sitting,0,0.3-1µ,0.3-1
R816,31.2,14499,TFdoor,Standing,0,0.3-1µ,0.3-1
R826,33.36666666666667,15557.370967741936,TFdoor,Sitting,0,0.3-1µ,0.3-1
R864,40,14452.269841269841,TFdoor,Sitting,0,0.3-1µ,0.3-1
H21,30.65,44044.8,TFdoor,Sitting,0,0.3-1µ,0.3-1
H78,30,20608.633333333335,TFdoor,Standing,0,0.3-1µ,0.3-1
H101,29.4,15545.716666666667,TFdoor,Sitting,0,0.3-1µ,0.3-1
H198,29.700000000000003,9874.203389830509,TFdoor,Sitting,0,0.3-1µ,0.3-1
H279,28.25,15016.233333333334,TFdoor,Sitting,0,0.3-1µ,0.3-1
H290,30.45,12936.459016393443,TFdoor,Standing,0,0.3-1µ,0.3-1
H336,30,11711.483333333334,TFdoor,Sitting,0,0.3-1µ,0.3-1
H446,40,15137.483333333334,TFdoor,Sitting,0,0.3-1µ,0.3-1
H531,40,9709.283333333333,TFdoor,Sitting,0,0.3-1µ,0.3-1
H543,40,8587.90322580645,TFdoor,Standing,0,0.3-1µ,0.3-1
H577,40,5490.028571428571,TFdoor,Sitting,0,0.3-1µ,0.3-1
H620,40,5415.683333333333,TFdoor,Sitting,0,0.3-1µ,0.3-1
H632,40,5301.983333333334,TFdoor,Standing,0,0.3-1µ,0.3-1
H705,40,77561.29508196721,TFdoor,Sitting,0,0.3-1µ,0.3-1
H755,40,16819.833333333332,TFdoor,Sitting,0,0.3-1µ,0.3-1
H844,32.95,9315.15,TFdoor,Sitting,0,0.3-1µ,0.3-1
H855,31.85,3401.0666666666666,TFdoor,Standing,0,0.3-1µ,0.3-1
H890,31.95,2228.6451612903224,TFdoor,Sitting,0,0.3-1µ,0.3-1
H928,40,2095.0454545454545,TFdoor,Sitting,0,0.3-1µ,0.3-1
H1026,31.6,4432.854838709677,TFdoor,Sitting,0,0.3-1µ,0.3-1
H1107,40,16492.466666666667,TFdoor,Sitting,0,0.3-1µ,0.3-1
H1118,40,6749.15,TFdoor,Standing,0,0.3-1µ,0.3-1
H1164,40,17070.467741935485,TFdoor,Sitting,0,0.3-1µ,0.3-1
H1191,40,9656.333333333334,TFdoor,Sitting,0,0.3-1µ,0.3-1
H1283,40,9006.565217391304,TFdoor,Sitting,0,0.3-1µ,0.3-1
R806,32.06666666666667,1026.1166666666666,TFdoor,Sitting,0,1-2.5µ,1-2.5
R816,31.2,615.05,TFdoor,Standing,0,1-2.5µ,1-2.5
R826,33.36666666666667,1393.0483870967741,TFdoor,Sitting,0,1-2.5µ,1-2.5
R864,40,409.3015873015873,TFdoor,Sitting,0,1-2.5µ,1-2.5
H21,30.65,1433.0833333333333,TFdoor,Sitting,0,1-2.5µ,1-2.5
H78,30,576.1833333333333,TFdoor,Standing,0,1-2.5µ,1-2.5
H101,29.4,636.8666666666667,TFdoor,Sitting,0,1-2.5µ,1-2.5
H198,29.700000000000003,600.8305084745763,TFdoor,Sitting,0,1-2.5µ,1-2.5
H279,28.25,590.9833333333333,TFdoor,Sitting,0,1-2.5µ,1-2.5
H290,30.45,497.9836065573771,TFdoor,Standing,0,1-2.5µ,1-2.5
H336,30,454.93333333333334,TFdoor,Sitting,0,1-2.5µ,1-2.5
H446,40,437.93333333333334,TFdoor,Sitting,0,1-2.5µ,1-2.5
H531,40,449.3,TFdoor,Sitting,0,1-2.5µ,1-2.5
H543,40,343.30645161290323,TFdoor,Standing,0,1-2.5µ,1-2.5
H577,40,342.0285714285714,TFdoor,Sitting,0,1-2.5µ,1-2.5
H620,40,220.86666666666667,TFdoor,Sitting,0,1-2.5µ,1-2.5
H632,40,341.5,TFdoor,Standing,0,1-2.5µ,1-2.5
H705,40,277.4918032786885,TFdoor,Sitting,0,1-2.5µ,1-2.5
H755,40,203.91666666666666,TFdoor,Sitting,0,1-2.5µ,1-2.5
H844,32.95,172.78333333333333,TFdoor,Sitting,0,1-2.5µ,1-2.5
H855,31.85,108.26666666666667,TFdoor,Standing,0,1-2.5µ,1-2.5
H890,31.95,143.90322580645162,TFdoor,Sitting,0,1-2.5µ,1-2.5
H928,40,117.86363636363636,TFdoor,Sitting,0,1-2.5µ,1-2.5
H1026,31.6,160.61290322580646,TFdoor,Sitting,0,1-2.5µ,1-2.5
H1107,40,449.78333333333336,TFdoor,Sitting,0,1-2.5µ,1-2.5
H1118,40,225.9,TFdoor,Standing,0,1-2.5µ,1-2.5
H1164,40,386.11290322580646,TFdoor,Sitting,0,1-2.5µ,1-2.5
H1191,40,664.4666666666667,TFdoor,Sitting,0,1-2.5µ,1-2.5
H1283,40,289.5507246376812,TFdoor,Sitting,0,1-2.5µ,1-2.5
R806,32.06666666666667,53.8,TFdoor,Sitting,0,2.5-3µ,2.5-3
R816,31.2,35.31666666666667,TFdoor,Standing,0,2.5-3µ,2.5-3
R826,33.36666666666667,93.74193548387096,TFdoor,Sitting,0,2.5-3µ,2.5-3
R864,40,28.19047619047619,TFdoor,Sitting,0,2.5-3µ,2.5-3
H21,30.65,73.01666666666667,TFdoor,Sitting,0,2.5-3µ,2.5-3
H78,30,28.166666666666668,TFdoor,Standing,0,2.5-3µ,2.5-3
H101,29.4,24.766666666666666,TFdoor,Sitting,0,2.5-3µ,2.5-3
H198,29.700000000000003,24.8135593220339,TFdoor,Sitting,0,2.5-3µ,2.5-3
H279,28.25,40.31666666666667,TFdoor,Sitting,0,2.5-3µ,2.5-3
H290,30.45,29.540983606557376,TFdoor,Standing,0,2.5-3µ,2.5-3
H336,30,32.61666666666667,TFdoor,Sitting,0,2.5-3µ,2.5-3
H446,40,26.5,TFdoor,Sitting,0,2.5-3µ,2.5-3
H531,40,39.38333333333333,TFdoor,Sitting,0,2.5-3µ,2.5-3
H543,40,41.79032258064516,TFdoor,Standing,0,2.5-3µ,2.5-3
H577,40,36.385714285714286,TFdoor,Sitting,0,2.5-3µ,2.5-3
H620,40,14.483333333333333,TFdoor,Sitting,0,2.5-3µ,2.5-3
H632,40,31.566666666666666,TFdoor,Standing,0,2.5-3µ,2.5-3
H705,40,14.540983606557377,TFdoor,Sitting,0,2.5-3µ,2.5-3
H755,40,14.3,TFdoor,Sitting,0,2.5-3µ,2.5-3
H844,32.95,15.166666666666666,TFdoor,Sitting,0,2.5-3µ,2.5-3
H855,31.85,10.75,TFdoor,Standing,0,2.5-3µ,2.5-3
H890,31.95,15.790322580645162,TFdoor,Sitting,0,2.5-3µ,2.5-3
H928,40,9.393939393939394,TFdoor,Sitting,0,2.5-3µ,2.5-3
H1026,31.6,15.306451612903226,TFdoor,Sitting,0,2.5-3µ,2.5-3
H1107,40,37.3,TFdoor,Sitting,0,2.5-3µ,2.5-3
H1118,40,20.516666666666666,TFdoor,Standing,0,2.5-3µ,2.5-3
H1164,40,24.096774193548388,TFdoor,Sitting,0,2.5-3µ,2.5-3
H1191,40,42.233333333333334,TFdoor,Sitting,0,2.5-3µ,2.5-3
H1283,40,21.594202898550726,TFdoor,Sitting,0,2.5-3µ,2.5-3
R806,32.06666666666667,65.85,TFdoor,Sitting,0,3-5µ,3-5
R816,31.2,46.68333333333333,TFdoor,Standing,0,3-5µ,3-5
R826,33.36666666666667,127.35483870967742,TFdoor,Sitting,0,3-5µ,3-5
R864,40,38.34920634920635,TFdoor,Sitting,0,3-5µ,3-5
H21,30.65,94.15,TFdoor,Sitting,0,3-5µ,3-5
H78,30,33.55,TFdoor,Standing,0,3-5µ,3-5
H101,29.4,27.083333333333332,TFdoor,Sitting,0,3-5µ,3-5
H198,29.700000000000003,31.25423728813559,TFdoor,Sitting,0,3-5µ,3-5
H279,28.25,62.55,TFdoor,Sitting,0,3-5µ,3-5
H290,30.45,41.721311475409834,TFdoor,Standing,0,3-5µ,3-5
H336,30,46.766666666666666,TFdoor,Sitting,0,3-5µ,3-5
H446,40,38.5,TFdoor,Sitting,0,3-5µ,3-5
H531,40,60.833333333333336,TFdoor,Sitting,0,3-5µ,3-5
H543,40,74.04838709677419,TFdoor,Standing,0,3-5µ,3-5
H577,40,62.142857142857146,TFdoor,Sitting,0,3-5µ,3-5
H620,40,19.116666666666667,TFdoor,Sitting,0,3-5µ,3-5
H632,40,48.583333333333336,TFdoor,Standing,0,3-5µ,3-5
H705,40,18.131147540983605,TFdoor,Sitting,0,3-5µ,3-5
H755,40,23.1,TFdoor,Sitting,0,3-5µ,3-5
H844,32.95,26.283333333333335,TFdoor,Sitting,0,3-5µ,3-5
H855,31.85,18.25,TFdoor,Standing,0,3-5µ,3-5
H890,31.95,27.629032258064516,TFdoor,Sitting,0,3-5µ,3-5
H928,40,16.12121212121212,TFdoor,Sitting,0,3-5µ,3-5
H1026,31.6,25.080645161290324,TFdoor,Sitting,0,3-5µ,3-5
H1107,40,58.833333333333336,TFdoor,Sitting,0,3-5µ,3-5
H1118,40,31.533333333333335,TFdoor,Standing,0,3-5µ,3-5
H1164,40,38.66129032258065,TFdoor,Sitting,0,3-5µ,3-5
H1191,40,51.38333333333333,TFdoor,Sitting,0,3-5µ,3-5
H1283,40,33.63768115942029,TFdoor,Sitting,0,3-5µ,3-5
R806,32.06666666666667,27.316666666666666,TFdoor,Sitting,0,5-10µ,5-10
R816,31.2,25.533333333333335,TFdoor,Standing,0,5-10µ,5-10
R826,33.36666666666667,65.43548387096774,TFdoor,Sitting,0,5-10µ,5-10
R864,40,18.523809523809526,TFdoor,Sitting,0,5-10µ,5-10
H21,30.65,44.166666666666664,TFdoor,Sitting,0,5-10µ,5-10
H78,30,16.416666666666668,TFdoor,Standing,0,5-10µ,5-10
H101,29.4,11.933333333333334,TFdoor,Sitting,0,5-10µ,5-10
H198,29.700000000000003,17.271186440677965,TFdoor,Sitting,0,5-10µ,5-10
H279,28.25,42.016666666666666,TFdoor,Sitting,0,5-10µ,5-10
H290,30.45,27.18032786885246,TFdoor,Standing,0,5-10µ,5-10
H336,30,27.966666666666665,TFdoor,Sitting,0,5-10µ,5-10
H446,40,24.583333333333332,TFdoor,Sitting,0,5-10µ,5-10
H531,40,39.53333333333333,TFdoor,Sitting,0,5-10µ,5-10
H543,40,61.016129032258064,TFdoor,Standing,0,5-10µ,5-10
H577,40,53.42857142857143,TFdoor,Sitting,0,5-10µ,5-10
H620,40,11.383333333333333,TFdoor,Sitting,0,5-10µ,5-10
H632,40,30.716666666666665,TFdoor,Standing,0,5-10µ,5-10
H705,40,9.360655737704919,TFdoor,Sitting,0,5-10µ,5-10
H755,40,15.583333333333334,TFdoor,Sitting,0,5-10µ,5-10
H844,32.95,15.933333333333334,TFdoor,Sitting,0,5-10µ,5-10
H855,31.85,14.95,TFdoor,Standing,0,5-10µ,5-10
H890,31.95,25.548387096774192,TFdoor,Sitting,0,5-10µ,5-10
H928,40,12.257575757575758,TFdoor,Sitting,0,5-10µ,5-10
H1026,31.6,20.20967741935484,TFdoor,Sitting,0,5-10µ,5-10
H1107,40,42.45,TFdoor,Sitting,0,5-10µ,5-10
H1118,40,24.533333333333335,TFdoor,Standing,0,5-10µ,5-10
H1164,40,26.758064516129032,TFdoor,Sitting,0,5-10µ,5-10
H1191,40,24.983333333333334,TFdoor,Sitting,0,5-10µ,5-10
H1283,40,22.71014492753623,TFdoor,Sitting,0,5-10µ,5-10
R806,32.06666666666667,6.016666666666667,TFdoor,Sitting,0,10-25µ,10-25
R816,31.2,13.65,TFdoor,Standing,0,10-25µ,10-25
R826,33.36666666666667,11.14516129032258,TFdoor,Sitting,0,10-25µ,10-25
R864,40,6.523809523809524,TFdoor,Sitting,0,10-25µ,10-25
H21,30.65,7.966666666666667,TFdoor,Sitting,0,10-25µ,10-25
H78,30,4.083333333333333,TFdoor,Standing,0,10-25µ,10-25
H101,29.4,4.166666666666667,TFdoor,Sitting,0,10-25µ,10-25
H198,29.700000000000003,8.35593220338983,TFdoor,Sitting,0,10-25µ,10-25
H279,28.25,16.533333333333335,TFdoor,Sitting,0,10-25µ,10-25
H290,30.45,8.491803278688524,TFdoor,Standing,0,10-25µ,10-25
H336,30,6.433333333333334,TFdoor,Sitting,0,10-25µ,10-25
H446,40,9.8,TFdoor,Sitting,0,10-25µ,10-25
H531,40,9.4,TFdoor,Sitting,0,10-25µ,10-25
H543,40,21.370967741935484,TFdoor,Standing,0,10-25µ,10-25
H577,40,14.528571428571428,TFdoor,Sitting,0,10-25µ,10-25
H620,40,2.8,TFdoor,Sitting,0,10-25µ,10-25
H632,40,6,TFdoor,Standing,0,10-25µ,10-25
H705,40,2.1147540983606556,TFdoor,Sitting,0,10-25µ,10-25
H755,40,5.266666666666667,TFdoor,Sitting,0,10-25µ,10-25
H844,32.95,9.783333333333333,TFdoor,Sitting,0,10-25µ,10-25
H855,31.85,9.816666666666666,TFdoor,Standing,0,10-25µ,10-25
H890,31.95,17.580645161290324,TFdoor,Sitting,0,10-25µ,10-25
H928,40,5.166666666666667,TFdoor,Sitting,0,10-25µ,10-25
H1026,31.6,9.935483870967742,TFdoor,Sitting,0,10-25µ,10-25
H1107,40,12.266666666666667,TFdoor,Sitting,0,10-25µ,10-25
H1118,40,9.933333333333334,TFdoor,Standing,0,10-25µ,10-25
H1164,40,13.741935483870968,TFdoor,Sitting,0,10-25µ,10-25
H1191,40,7.166666666666667,TFdoor,Sitting,0,10-25µ,10-25
H1283,40,10.44927536231884,TFdoor,Sitting,0,10-25µ,10-25
